Name,Offset,Min,Max,Skins Count,Skins Name,Unknown 1,Unknown 2,Faces/Triangles,Material Type,Unknown 3,Material,"Unknown 4(x,c,i)",Skins Index,Vertices Count,Vertex Stride,Unknown 5,Vertex Bytes,Indices Count,Index Bytes



construction/barricade_hlam/x/bath_x/piece3.ply,0X0001F490,"-7.882802,-4.376047,-5.171975","7.882797,4.376047,5.171974","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",17,0X00000404,bath1.mtl,17750,Skin index: 
construction/barricade_hlam/x/bath_x/piece4.ply,0X0001F875,"-11.089850,-2.701885,-5.410556","11.089849,2.701885,5.410556","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",39,0X00000404,bath1.mtl,17750,Skin index: 
construction/barricade_hlam/x/bath_x/piece5.ply,0X000201BE,"-10.021364,-5.090703,-0.338928","10.021362,5.090702,0.338929","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",24,0X00000404,bath1.mtl,17750,Skin index: 
construction/barricade_hlam/x/bath_x/piece6.ply,0X0002092D,"-11.089851,-7.073912,-5.822298","11.089849,7.073911,5.822298","0X00000024: 0x0112, 274","0X00000028: 0x0000, 0",72,0X00000404,bath1.mtl,17750,Skin index: 

construction/barricade_hlam/x/mattress_tumba_x/piece1.ply,0X00022294,"-2.853882,-3.124611,0.000000","2.853882,3.124611,1.762032","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",6,0X00000404,13_-_default.mtl,17741,Skin index: ,24,36,"0X00000071: 0x01, 1","0x00000360, 864",36,"0x00000048, 72"
construction/barricade_hlam/x/mattress_tumba_x/piece2.ply,0X0002270E,"-2.853882,-3.124611,0.000000","2.853882,3.124611,1.762032","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,13_-_default.mtl,17741,Skin index: ,24,36,"0X00000071: 0x01, 1","0x00000360, 864",36,"0x00000048, 72"
construction/barricade_hlam/x/mattress_tumba_x/piece3.ply,0X00022B88,"-2.853882,-3.124611,0.000000","2.853882,3.124611,1.762032","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",6,0X00000404,13_-_default.mtl,17741,Skin index: ,24,36,"0X00000071: 0x01, 1","0x00000360, 864",36,"0x00000048, 72"
construction/barricade_hlam/x/mattress_tumba_x/piece4.ply,0X00023002,"-2.853882,-3.124611,0.000000","2.853882,3.124611,1.762032","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,13_-_default.mtl,17741,Skin index: ,24,36,"0X00000071: 0x01, 1","0x00000360, 864",36,"0x00000048, 72"
construction/barricade_hlam/x/mattress_tumba_x/piece5.ply,0X0002347C,"-4.361984,-4.440473,-7.545377","4.361979,4.440475,7.545377","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",68,0X00000404,material1.mtl,17750,Skin index: 
construction/barricade_hlam/x/mattress_tumba_x/piece6.ply,0X00024BD9,"-4.361983,-4.435121,-3.366285","4.361978,4.440475,7.945118","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",52,0X00000404,material1.mtl,17750,Skin index: 

construction/barricade_hlam/x/suitcase_o_x/piece0.ply,0X00025F8C,"-5.140679,-7.288548,-10.053769","7.390332,8.894692,10.934833","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",40,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_o_x/piece1.ply,0X00026C68,"-0.622543,-5.322883,-3.926111","0.622548,5.322881,3.926110","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_o_x/piece2.ply,0X00026E4C,"-0.094289,-3.989250,-2.596988","0.094286,3.989248,2.596988","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",2,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_o_x/piece3.ply,0X00026FDC,"0.000002,-5.655548,-2.761728","0.000003,5.655549,2.761729","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_o_x/piece4.ply,0X000271C0,"-0.445737,-3.811111,-2.811040","0.445730,3.811110,2.811042","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_o_x/piece5.ply,0X000273A4,"-0.445737,-4.053295,-2.526100","0.445731,4.053297,2.526102","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_o_x/piece6.ply,0X00027588,"-0.445736,-3.431507,-2.386733","0.445732,3.431508,2.386733","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 

construction/barricade_hlam/x/suitcase_x/piece1.ply,0X00028485,"-0.622543,-5.322883,-3.926112","0.622548,5.322881,3.926111","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_x/piece2.ply,0X00028667,"-0.094290,-3.989250,-2.596988","0.094285,3.989248,2.596988","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",2,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_x/piece3.ply,0X000287F5,"0.000002,-5.655548,-2.761728","0.000003,5.655549,2.761730","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_x/piece4.ply,0X000289D7,"-0.445737,-3.811111,-2.811041","0.445730,3.811110,2.811042","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_x/piece5.ply,0X00028BB9,"-5.140680,-7.288548,-0.824910","3.519058,8.894691,11.230576","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",40,0X00000404,02_-_default.mtl,17750,Skin index: 
construction/barricade_hlam/x/suitcase_x/piece6.ply,0X00029893,"-0.445737,-4.053296,-2.526101","0.445732,4.053296,2.526101","0X00000024: 0x0152, 338","0X00000028: 0x0000, 0",4,0X00000404,02_-_default.mtl,17750,Skin index: 
